Method Data
Method name,Panopea
Method ID,007
Method version,6
Method Internal ID,M44
Release State,Released
Type,TitrationGeneral

Table of Measured Values
Task,T1969
Scope 1/1, Sample 1/3 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-56.4,19.0,NaN,,
0.0010,1,-56.9,19.1,0.0010,,
0.0025,2,-56.9,19.0,0.0015,,
0.0050,3,-57.0,19.0,0.0025,,
0.0090,4,-57.0,19.0,0.0035,,
0.0150,5,-56.8,19.1,0.0055,,
0.0235,6,-56.3,19.0,0.0075,,
0.0310,7,-55.7,19.1,0.0075,,
0.0395,8,-54.8,19.1,0.0085,,
0.0480,9,-53.7,19.1,0.0075,,
0.0565,10,-52.6,19.1,0.0075,,
0.0650,11,-51.3,19.1,0.0075,,
0.0735,12,-49.8,19.1,0.0075,,
0.0810,13,-48.4,19.1,0.0075,,
0.0895,14,-46.9,19.1,0.0085,,
0.0975,15,-45.2,19.1,0.0075,,
0.1060,16,-43.4,19.1,0.0075,,
0.1145,17,-41.3,19.1,0.0075,,
0.1230,18,-39.2,19.1,0.0075,,
0.1305,19,-37.1,19.1,0.0075,,
0.1390,20,-34.7,19.1,0.0085,,
0.1475,21,-32.2,19.1,0.0075,,
0.1560,22,-29.6,19.1,0.0075,,
0.1645,23,-27.0,19.1,0.0075,,
0.1730,24,-24.4,19.1,0.0075,,
0.1805,25,-22.2,19.1,0.0075,,
0.1885,26,-19.9,19.1,0.0080,,
0.1970,27,-17.7,19.1,0.0075,,
0.2055,28,-15.7,19.1,0.0075,,
0.2140,29,-13.9,19.1,0.0075,,
0.2225,30,-12.3,19.1,0.0075,,
0.2300,31,-10.9,19.1,0.0075,,
0.2385,32,-9.6,19.1,0.0085,,
0.2470,33,-8.2,19.1,0.0075,,
0.2550,34,-6.8,19.1,0.0075,,
0.2635,35,-5.6,19.1,0.0075,,
0.2720,36,-4.5,19.1,0.0085,,
0.2795,37,-3.3,19.1,0.0075,,
0.2880,38,-1.8,19.1,0.0085,,
0.2965,39,-0.3,19.1,0.0075,,
0.3050,40,0.0,19.1,0.0075,,
0.3135,41,1.1,19.1,0.0075,,
0.3215,42,2.1,19.1,0.0075,,
0.3295,43,3.0,19.1,0.0080,,
0.3375,44,4.0,19.1,0.0075,,
0.3460,45,4.9,19.1,0.0075,,
0.3545,46,5.9,19.1,0.0075,,
0.3630,47,6.8,19.1,0.0075,,
0.3715,48,7.8,19.1,0.0075,,
0.3790,49,8.6,19.1,0.0075,,
0.3875,50,9.6,19.1,0.0085,,
0.3960,51,10.6,19.1,0.0075,,
0.4045,52,11.6,19.1,0.0075,,
0.4125,53,12.7,19.1,0.0075,,
0.4210,54,13.5,19.1,0.0085,,
0.4285,55,14.6,19.1,0.0075,,
0.4370,56,15.5,19.1,0.0085,,
0.4455,57,16.3,19.1,0.0075,,
0.4540,58,17.3,19.1,0.0075,,
0.4625,59,18.0,19.1,0.0075,,
0.4710,60,18.8,19.1,0.0085,,
0.4785,61,19.8,19.1,0.0075,,
0.4870,62,20.7,19.1,0.0075,,
0.4955,63,21.5,19.1,0.0075,,
0.5035,64,22.4,19.1,0.0075,,
0.5120,65,23.4,19.1,0.0075,,
0.5195,66,24.2,19.1,0.0075,,
0.5280,67,25.2,19.1,0.0085,,
0.5365,68,26.2,19.1,0.0075,,
0.5450,69,27.0,19.1,0.0075,,
0.5535,70,27.8,19.1,0.0075,,
0.5620,71,28.6,19.1,0.0085,,
0.5695,72,29.5,19.1,0.0075,,
0.5780,73,30.4,19.1,0.0085,,
0.5865,74,31.3,19.1,0.0075,,
0.5945,75,32.1,19.1,0.0075,,
0.6030,76,33.0,19.1,0.0075,,
0.6115,77,33.7,19.1,0.0075,,
0.6190,78,34.5,19.1,0.0075,,
0.6275,79,35.4,19.1,0.0085,,
0.6360,80,36.3,19.1,0.0075,,
0.6445,81,37.1,19.1,0.0075,,
0.6530,82,38.1,19.1,0.0075,,
0.6610,83,38.9,19.1,0.0080,,
0.6690,84,39.8,19.1,0.0080,,
0.6770,85,40.7,19.1,0.0080,,
0.6855,86,41.6,19.1,0.0075,,
0.6940,87,42.5,19.1,0.0075,,
0.7025,88,43.3,19.1,0.0075,,
0.7110,89,44.2,19.1,0.0075,,
0.7185,90,44.9,19.1,0.0075,,
0.7270,91,45.7,19.1,0.0085,,
0.7355,92,46.5,19.1,0.0075,,
